Config,N Leads,AUROC,LRS,F1,AUROC_NORM,AUROC_MI,AUROC_STTC,AUROC_CD,AUROC_HYP
12-lead,12,0.9130000845769649,1.0,0.6877175065504266,0.953102285421353,0.9287881802439114,0.9357221118597555,0.917031230539295,0.8303566148205098
6-lead-limb,6,0.8893167041675495,0.9818418786956933,0.6405792518715663,0.9397905859309248,0.8864890755683283,0.9172251633250732,0.8853595819321626,0.8177191140812585
3-lead-I-II-V2,3,0.904988586789524,0.9938575597681274,0.6666348409812788,0.9473581271327794,0.9216307431561107,0.9243885549570952,0.9102031178644082,0.8213623908372266
3-lead-I-II-III,3,0.88848151263259,0.9812015347523051,0.6343037279373842,0.9393597262391162,0.8881153973692937,0.915278958201069,0.8853102814796363,0.8143431998738344
3-lead-II-V2-V5,3,0.8971947865824197,0.9878820289471189,0.6591224418532541,0.9428697263921406,0.916605873033418,0.9235143306231953,0.8961959511354672,0.8067880517278767
2-lead-I-II,2,0.8874556183957661,0.9804149784552054,0.6299643604239428,0.9391373624692039,0.8764187023322648,0.9155087140838437,0.88535114896002,0.820862164133499
2-lead-II-V2,2,0.8837039774732091,0.9775385837098458,0.6186618233886938,0.9307669206873863,0.9086127998231458,0.8957535480964182,0.8964930512309544,0.7868935675281409
1-lead-II,1,0.8558017774085537,0.9561458802750935,0.5664278574817503,0.916951674853479,0.8422438377362662,0.8764617338057302,0.8595715531199403,0.7837800875273523
1-lead-V2,1,0.7927528139025929,0.9078060441680444,0.4436851598877718,0.8407268091325039,0.8279186470653255,0.7650595701325034,0.8122645254701706,0.7177945177124608
1-lead-I,1,0.8423949872000895,0.9458668525899283,0.5372984933075159,0.9017176047070345,0.8006926789727717,0.8762978967416903,0.8218288132602649,0.8114379423186863
1-lead-V5,1,0.8507013683726751,0.9522353808288977,0.5683353163482965,0.9134923640759615,0.8166102943885635,0.909914574330828,0.8198516056378959,0.7936380034301259
